,INCIDENT_KEY,VICTIM_ID,VICTIM_AGE_GROUP,VICTIM_SEX,VICTIM_RACE,STAT_MURDER_FLG
348,50821744,50821744-14674,45-64,Male,White,N
349,50821748,50821748-14678,<18,Male,Black,N
350,50821748,50821748-14679,<18,Male,Black,Y
351,50821748,50821748-14680,18-24,Male,Black,N
352,50864319,50864319-14693,<18,Male,Black,N
353,51338335,51338335-14755,25-44,Male,White Hispanic,N
354,51338336,51338336-14734,18-24,Male,White Hispanic,N
355,51359383,51359383-14742,25-44,Male,Black,N
356,51438899,51438899-14764,18-24,Male,Black,N
357,51559656,51559656-14794,<18,Female,Black,N
358,51624421,51624421-14811,18-24,Male,Black,Y
359,51764332,51764332-14855,25-44,Male,Black,N
360,51787772,51787772-14863,18-24,Male,Black,Y
361,51787776,51787776-14868,45-64,Male,Black,N
362,51893518,51893518-14884,25-44,Male,Asian / Pacific Islander,N
363,51893518,51893518-14903,18-24,Male,Asian / Pacific Islander,N
364,51935566,51935566-14904,18-24,Male,Black,N
365,52100732,52100732-14928,25-44,Male,Black,N
366,52214155,52214155-14953,25-44,Female,White Hispanic,N
367,52214155,52214155-14954,<18,Male,White Hispanic,N
368,52214155,52214155-14955,18-24,Male,Black,N
369,52214156,52214156-14956,18-24,Male,Black,N
370,52269757,52269757-14966,18-24,Male,Black,N
371,52269757,52269757-14967,25-44,Female,Black,N
372,52294528,52294528-14968,<18,Male,Black,N
373,52380393,52380393-14984,18-24,Male,White Hispanic,N
374,52380393,52380393-14985,<18,Female,White Hispanic,N
375,52490464,52490464-15008,25-44,Male,Black,Y
376,52661602,52661602-15047,25-44,Male,Black,N
377,53847341,53847341-15078,18-24,Male,Black,N
378,53891791,53891791-15084,25-44,Male,Black Hispanic,N
379,53982102,53982102-15102,18-24,Male,Black,Y
380,53982104,53982104-15104,18-24,Male,White Hispanic,N
381,54120278,54120278-15128,18-24,Male,Black,Y
382,54120278,54120278-15134,18-24,Male,Black,N
383,54154416,54154416-15136,25-44,Male,Black,Y
384,54179956,54179956-15141,18-24,Male,Black Hispanic,N
385,54346520,54346520-15158,18-24,Male,White Hispanic,N
386,54436075,54436075-15169,18-24,Male,Black,N
387,54458331,54458331-15174,18-24,Male,Black,N
388,54579990,54579990-15211,<18,Male,Black,Y
389,54784466,54784466-15240,18-24,Male,Black,N
390,55082911,55082911-15306,45-64,Male,Black,Y
391,55082913,55082913-15309,18-24,Male,Black,Y
392,55256123,55256123-15365,<18,Male,Black,N
393,55273292,55273292-15370,25-44,Male,Black,N
394,55273292,55273292-15371,18-24,Female,Black Hispanic,N
395,55273292,55273292-15372,18-24,Male,Black,N
396,55299656,55299656-15378,25-44,Male,Black,N
397,55412129,55412129-15404,25-44,Male,Black,N
398,55412131,55412131-15406,18-24,Male,Black,N
399,55581514,55581514-15434,25-44,Male,Black,N
400,55624564,55624564-15436,18-24,Male,Black,Y
401,55624564,55624564-15437,25-44,Male,Black,Y
402,55624564,55624564-15439,18-24,Male,Black,N
403,55642786,55642786-15440,<18,Female,Black,N
404,55699968,55699968-15453,25-44,Male,Black,N
405,55803385,55803385-15464,18-24,Male,Black,N
406,55976670,55976670-15496,25-44,Male,Black,N
407,56290942,56290942-15528,25-44,Male,Black,Y
408,57938888,57938888-15588,18-24,Male,Black,Y
409,57938888,57938888-15589,18-24,Male,Black,N
410,57938890,57938890-15591,25-44,Male,Asian / Pacific Islander,N
411,59146531,59146531-15629,45-64,Male,Black,N
412,59171355,59171355-15634,25-44,Male,Black,N
413,59415613,59415613-15660,18-24,Male,Black,N
414,59591604,59591604-15677,25-44,Male,White Hispanic,N
415,59591610,59591610-15679,18-24,Male,Black,N
416,59660235,59660235-15693,<18,Male,Black,N
417,59859212,59859212-15717,18-24,Male,Black,N
418,59930743,59930743-15721,25-44,Male,Black,Y
419,59930745,59930745-15723,18-24,Male,Black,N
420,59930745,59930745-15729,18-24,Male,Black,N
421,59965611,59965611-15727,18-24,Male,Black,N
422,60177686,60177686-15763,18-24,Male,White Hispanic,Y
423,60217228,60217228-15766,18-24,Male,Black,Y
424,60405702,60405702-15801,25-44,Male,Black Hispanic,Y
425,60405702,60405702-15802,18-24,Male,Black Hispanic,N
426,60562016,60562016-15818,18-24,Male,Black,N
427,60562016,60562016-15819,18-24,Male,Black,N
428,60828824,60828824-15827,25-44,Male,Black,N
429,60828826,60828826-15829,18-24,Male,Black,N
430,61170266,61170266-15911,18-24,Male,Black,N
431,61325374,61325374-15941,25-44,Male,White Hispanic,N
432,61373838,61373838-15953,<18,Male,Black,N
433,61373838,61373838-15954,<18,Male,Black,N
434,61373840,61373840-15956,18-24,Female,Black,N
435,61373840,61373840-15957,<18,Male,Black,N
436,61400092,61400092-15959,25-44,Male,Black,Y
437,61593630,61593630-15984,25-44,Male,Unknown,Y
438,62074232,62074232-16081,25-44,Male,Black,N
439,62085248,62085248-16083,18-24,Male,Black,N
440,62085248,62085248-16084,<18,Male,Black,N
441,62200224,62200224-16108,18-24,Male,Black,N
442,62267916,62267916-16123,<18,Male,Black,N
443,62615452,62615452-16188,18-24,Male,White,N
444,62663564,62663564-16191,25-44,Male,White Hispanic,N
445,62773203,62773203-16224,25-44,Male,White,N
446,62883994,62883994-16253,25-44,Male,Black,Y
447,62927377,62927377-16260,25-44,Male,Black Hispanic,N
448,63130646,63130646-16313,18-24,Male,Black,N
449,63182531,63182531-16324,18-24,Male,Black,N
450,63214325,63214325-16340,18-24,Male,Black,N
451,63265003,63265003-16358,18-24,Male,White Hispanic,N
452,63289910,63289910-16359,<18,Female,Black,N
